source	target	type	confidence
164	110	provided_by	0.7
165	19	built_with	0.7
1	3	works_on	0.7
1	2	uses	0.7
167	120	related_to	0.7
168	169	built_with	0.7
170	171	provided_by	0.7
170	1	uses	0.7
170	3	built_with	0.7
171	1	affiliated_with	0.7
171	3	owned_by	0.7
1	112	related_to	0.7
112	0	works_on	0.7
173	0	related_to	0.7
53	48	related_to	0.7
53	1	uses	0.7
48	1	uses	0.7
174	175	built_with	0.7
174	167	owned_by	0.7
175	167	provided_by	0.7
41	1	works_on	0.7
41	46	owned_by	0.7
1	46	affiliated_with	0.7
167	0	owned_by	0.7
176	177	related_to	0.7
1	109	uses	0.7
1	178	uses	0.7
1	11	affiliated_with	0.7
109	178	related_to	0.7
109	11	provided_by	0.7
178	11	provided_by	0.7
179	1	related_to	0.7
179	180	works_on	0.7
179	182	uses	0.7
179	3	works_on	0.7
1	180	works_on	0.7
1	182	uses	0.7
180	182	built_with	0.7
180	3	related_to	0.7
182	3	built_with	0.7
13	90	built_with	0.7
13	181	related_to	0.7
90	181	built_with	0.7
1	13	uses	0.7
1	183	uses	0.7
1	60	uses	0.7
1	140	uses	0.7
13	183	related_to	0.7
13	60	related_to	0.7
13	140	related_to	0.7
183	60	related_to	0.7
183	140	related_to	0.7
60	140	related_to	0.7
13	184	built_with	0.7
13	185	built_with	0.7
13	186	built_with	0.7
13	6	provided_by	0.7
184	185	related_to	0.7
184	186	related_to	0.7
184	6	owned_by	0.7
185	186	related_to	0.7
185	6	owned_by	0.7
186	6	owned_by	0.7
13	187	related_to	0.7
13	188	built_with	0.7
13	191	uses	0.7
187	188	built_with	0.7
187	191	uses	0.7
187	6	provided_by	0.7
188	191	works_on	0.7
188	6	owned_by	0.7
191	6	affiliated_with	0.7
189	190	related_to	0.7
189	1	uses	0.7
190	1	uses	0.7
13	1	uses	0.7
13	3	built_with	0.7
13	190	related_to	0.7
192	0	related_to	0.7
194	195	built_with	0.7
194	1	uses	0.7
195	1	works_on	0.7
1	166	uses	0.7
1	196	works_on	0.7
1	197	works_on	0.7
166	196	built_with	0.7
166	197	built_with	0.7
196	197	related_to	0.7
120	198	provided_by	0.7
199	191	affiliated_with	0.7
199	112	affiliated_with	0.7
199	1	affiliated_with	0.7
199	3	owned_by	0.7
191	112	related_to	0.7
191	1	related_to	0.7
191	3	works_on	0.7
112	1	related_to	0.7
112	3	works_on	0.7
51	3	related_to	0.7
203	204	built_with	0.7
205	206	owned_by	0.7
205	11	related_to	0.7
205	68	provided_by	0.7
206	11	owned_by	0.7
206	68	built_with	0.7
207	208	owned_by	0.7
207	209	provided_by	0.7
207	3	owned_by	0.7
208	209	built_with	0.7
208	3	related_to	0.7
209	3	built_with	0.7
207	210	owned_by	0.7
207	211	affiliated_with	0.7
210	211	works_on	0.7
212	0	related_to	0.7
41	192	related_to	0.7
41	0	related_to	0.7
191	213	affiliated_with	0.7
213	3	owned_by	0.7
214	47	related_to	0.7
215	216	provided_by	0.7
215	49	provided_by	0.7
215	217	provided_by	0.7
215	1	uses	0.7
216	49	related_to	0.7
216	217	related_to	0.7
216	1	affiliated_with	0.7
49	217	related_to	0.7
49	1	affiliated_with	0.7
217	1	affiliated_with	0.7
51	218	built_with	0.7
219	220	related_to	0.7
219	221	related_to	0.7
219	222	related_to	0.7
220	221	related_to	0.7
220	222	related_to	0.7
221	222	related_to	0.7
161	223	related_to	0.7
10	6	provided_by	0.7
224	167	related_to	0.7
225	226	related_to	0.7
225	228	related_to	0.7
225	229	related_to	0.7
226	228	related_to	0.7
226	229	related_to	0.7
228	229	related_to	0.7
230	231	related_to	0.7
230	232	related_to	0.7
230	11	owned_by	0.7
231	232	related_to	0.7
231	11	owned_by	0.7
232	11	owned_by	0.7
146	233	owned_by	0.7
146	0	owned_by	0.7
233	0	related_to	0.7
233	5	owned_by	0.7
233	19	built_with	0.7
0	5	owned_by	0.7
0	19	built_with	0.7
1	234	uses	0.7
10	234	related_to	0.7
234	6	provided_by	0.7
235	41	built_with	0.7
235	236	related_to	0.7
41	236	built_with	0.7
238	0	related_to	0.7
239	1	affiliated_with	0.7
239	0	owned_by	0.7
239	202	related_to	0.7
1	202	affiliated_with	0.7
0	202	owned_by	0.7
240	241	works_on	0.7
240	242	related_to	0.7
240	243	affiliated_with	0.7
240	68	uses	0.7
240	11	affiliated_with	0.7
241	242	works_on	0.7
241	243	owned_by	0.7
241	68	built_with	0.7
241	11	owned_by	0.7
242	243	affiliated_with	0.7
242	68	uses	0.7
242	11	affiliated_with	0.7
243	68	provided_by	0.7
243	11	related_to	0.7
68	11	provided_by	0.7
68	244	provided_by	0.7
68	245	related_to	0.7
68	246	provided_by	0.7
68	3	built_with	0.7
11	244	related_to	0.7
11	245	provided_by	0.7
11	246	related_to	0.7
11	3	owned_by	0.7
244	245	provided_by	0.7
244	246	related_to	0.7
244	3	owned_by	0.7
245	246	provided_by	0.7
245	3	built_with	0.7
246	3	owned_by	0.7
3	0	related_to	0.7
3	19	built_with	0.7
11	10	provided_by	0.7
19	10	related_to	0.7
1	247	related_to	0.7
1	68	uses	0.7
247	68	uses	0.7
247	248	uses	0.7
1	248	uses	0.7
248	10	related_to	0.7
247	191	related_to	0.7
247	4	works_on	0.7
247	3	works_on	0.7
191	4	works_on	0.7
4	3	related_to	0.7
248	48	related_to	0.7
1	249	uses	0.7
249	10	related_to	0.7
250	247	works_on	0.7
247	251	related_to	0.7
250	20	built_with	0.7
10	13	related_to	0.7
13	252	related_to	0.7
13	253	related_to	0.7
253	1	uses	0.7
255	256	owned_by	0.7
255	209	provided_by	0.7
256	209	built_with	0.7
257	258	owned_by	0.7
257	259	owned_by	0.7
258	259	related_to	0.7
161	260	related_to	0.7
161	261	related_to	0.7
161	20	related_to	0.7
260	261	related_to	0.7
260	20	related_to	0.7
261	20	related_to	0.7
0	224	owned_by	0.7
262	191	uses	0.7
262	13	related_to	0.7
262	1	uses	0.7
191	13	uses	0.7
13	255	provided_by	0.7
13	146	provided_by	0.7
13	11	provided_by	0.7
255	146	related_to	0.7
255	3	owned_by	0.7
255	11	related_to	0.7
146	3	owned_by	0.7
3	11	owned_by	0.7
263	264	works_on	0.7
247	265	uses	0.7
112	268	works_on	0.7
211	269	works_on	0.7
211	270	affiliated_with	0.7
211	271	uses	0.7
269	270	owned_by	0.7
269	271	built_with	0.7
270	271	provided_by	0.7
271	273	uses	0.7
271	274	related_to	0.7
271	162	provided_by	0.7
271	11	provided_by	0.7
273	274	uses	0.7
273	162	affiliated_with	0.7
273	11	affiliated_with	0.7
274	162	provided_by	0.7
274	11	provided_by	0.7
162	11	related_to	0.7
3	20	built_with	0.7
211	274	uses	0.7
211	1	related_to	0.7
274	1	uses	0.7
275	0	owned_by	0.7
276	275	owned_by	0.7
276	277	built_with	0.7
276	109	built_with	0.7
275	277	provided_by	0.7
275	109	provided_by	0.7
277	109	related_to	0.7
13	278	built_with	0.7
1	278	works_on	0.7
10	237	related_to	0.7
198	48	related_to	0.7
10	279	built_with	0.7
10	198	related_to	0.7
279	237	built_with	0.7
279	198	built_with	0.7
237	198	related_to	0.7
1	280	works_on	0.7
10	280	built_with	0.7
103	281	related_to	0.7
282	224	owned_by	0.7
282	283	built_with	0.7
224	10	provided_by	0.7
10	224	provided_by	0.7
10	1	uses	0.7
224	1	affiliated_with	0.7
224	120	related_to	0.7
1	120	affiliated_with	0.7
1	284	works_on	0.7
1	285	works_on	0.7
284	285	related_to	0.7
202	120	related_to	0.7
202	0	owned_by	0.7
120	0	owned_by	0.7
120	10	provided_by	0.7
120	48	provided_by	0.7
120	286	provided_by	0.7
120	287	provided_by	0.7
1	48	uses	0.7
1	286	uses	0.7
1	287	uses	0.7
10	48	related_to	0.7
10	286	related_to	0.7
10	287	related_to	0.7
48	286	related_to	0.7
48	287	related_to	0.7
286	287	related_to	0.7
234	167	provided_by	0.7
46	120	related_to	0.7
120	19	provided_by	0.7
0	3	related_to	0.7
296	162	provided_by	0.7
296	297	provided_by	0.7
296	19	related_to	0.7
162	297	related_to	0.7
162	19	provided_by	0.7
297	19	provided_by	0.7
120	298	owned_by	0.7
120	148	related_to	0.7
298	148	owned_by	0.7
298	19	built_with	0.7
148	19	provided_by	0.7
299	282	related_to	0.7
5	13	provided_by	0.7
12	13	provided_by	0.7
12	7	provided_by	0.7
13	7	related_to	0.7
238	300	related_to	0.7
238	301	related_to	0.7
300	301	related_to	0.7
300	0	related_to	0.7
301	0	related_to	0.7
302	13	related_to	0.7
302	278	built_with	0.7
0	303	related_to	0.7
0	227	built_with	0.7
0	304	works_on	0.7
0	305	built_with	0.7
303	227	built_with	0.7
303	304	works_on	0.7
303	305	built_with	0.7
227	304	uses	0.7
227	305	related_to	0.7
304	305	uses	0.7
1	93	uses	0.7
48	93	related_to	0.7
48	0	built_with	0.7
48	3	built_with	0.7
93	0	built_with	0.7
93	3	built_with	0.7
0	46	owned_by	0.7
0	47	related_to	0.7
0	306	related_to	0.7
46	47	owned_by	0.7
46	306	owned_by	0.7
47	306	related_to	0.7
308	309	built_with	0.7
308	310	built_with	0.7
309	310	related_to	0.7
1	311	uses	0.7
311	312	related_to	0.7
311	313	related_to	0.7
311	314	related_to	0.7
312	313	related_to	0.7
312	314	related_to	0.7
313	314	related_to	0.7
5	7	provided_by	0.7
5	23	related_to	0.7
5	24	related_to	0.7
5	170	provided_by	0.7
23	24	related_to	0.7
23	170	provided_by	0.7
24	170	provided_by	0.7
24	2	provided_by	0.7
24	35	provided_by	0.7
2	35	related_to	0.7
99	100	related_to	0.7
151	1	affiliated_with	0.7
27	28	related_to	0.7
27	318	related_to	0.7
27	6	owned_by	0.7
27	2	built_with	0.7
28	318	related_to	0.7
28	6	owned_by	0.7
28	2	built_with	0.7
318	6	owned_by	0.7
318	2	built_with	0.7
6	2	provided_by	0.7
30	31	owned_by	0.7
34	35	built_with	0.7
34	320	built_with	0.7
35	320	related_to	0.7
41	237	built_with	0.7
41	38	built_with	0.7
237	38	related_to	0.7
1	321	uses	0.7
1	40	uses	0.7
1	42	uses	0.7
1	43	uses	0.7
321	40	related_to	0.7
321	42	related_to	0.7
321	43	related_to	0.7
40	42	related_to	0.7
40	43	related_to	0.7
42	43	related_to	0.7
44	2	related_to	0.7
45	46	owned_by	0.7
45	0	related_to	0.7
1	47	works_on	0.7
1	50	works_on	0.7
1	51	works_on	0.7
47	50	related_to	0.7
47	51	related_to	0.7
50	51	related_to	0.7
11	56	provided_by	0.7
1	41	works_on	0.7
1	62	works_on	0.7
6	41	owned_by	0.7
6	13	provided_by	0.7
6	62	owned_by	0.7
41	13	built_with	0.7
41	62	related_to	0.7
13	62	built_with	0.7
1	103	affiliated_with	0.7
11	7	provided_by	0.7
11	52	provided_by	0.7
7	52	related_to	0.7
11	322	owned_by	0.7
11	0	owned_by	0.7
322	0	related_to	0.7
1	19	uses	0.7
72	11	provided_by	0.7
72	73	related_to	0.7
72	74	related_to	0.7
72	7	related_to	0.7
11	73	provided_by	0.7
11	74	provided_by	0.7
73	74	related_to	0.7
73	7	related_to	0.7
74	7	related_to	0.7
3	4	related_to	0.7
3	6	owned_by	0.7
4	6	owned_by	0.7
4	20	built_with	0.7
3	5	owned_by	0.7
5	6	related_to	0.7
62	6	owned_by	0.7
1	8	related_to	0.7
1	80	works_on	0.7
80	12	owned_by	0.7
80	10	built_with	0.7
12	10	provided_by	0.7
1	83	works_on	0.7
1	84	works_on	0.7
1	85	works_on	0.7
1	86	works_on	0.7
5	83	owned_by	0.7
5	84	owned_by	0.7
5	85	owned_by	0.7
5	86	owned_by	0.7
83	84	related_to	0.7
83	85	related_to	0.7
83	86	related_to	0.7
84	85	related_to	0.7
84	86	related_to	0.7
85	86	related_to	0.7
83	7	built_with	0.7
1	7	uses	0.7
1	76	uses	0.7
5	11	related_to	0.7
5	76	provided_by	0.7
7	11	provided_by	0.7
11	76	provided_by	0.7
8	6	affiliated_with	0.7
8	87	works_on	0.7
6	87	owned_by	0.7
